sample_idx,groups,suggested_question,ssim_winner,psnr_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,crop_panel_path,full_panel_path,uv_panel_path,visual_winner,gan_sharper,gan_artifact_or_hallucination_candidate,cnn_oversmoothed,which_is_closer_to_gt_structure,notes
28,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_028_speed_error_crop.png,,,,,,,,
30,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_030_speed_error_crop.png,,,,,,,,
31,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;phase1_core_contrast;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_031_speed_error_crop.png,,,,,,,,
32,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;phase1_core_contrast;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_032_speed_error_crop.png,,,,,,,,
33,candidate_structural_hallucination_signature;cnn_consensus_core;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,panels_crop160/sample_033_speed_error_crop.png,,,,,,,,
34,candidate_structural_hallucination_signature;cnn_consensus_core;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,panels_crop160/sample_034_speed_error_crop.png,,,,,,,,
48,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_048_speed_error_crop.png,,,,,,,,
62,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_062_speed_error_crop.png,,,,,,,,
63,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_063_speed_error_crop.png,,,,,,,,
64,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_064_speed_error_crop.png,,,,,,,,
65,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_065_speed_error_crop.png,,,,,,,,
66,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_066_speed_error_crop.png,,,,,,,,
67,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_067_speed_error_crop.png,,,,,,,,
68,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_068_speed_error_crop.png,,,,,,,,
73,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_073_speed_error_crop.png,,,,,,,,
74,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_074_speed_error_crop.png,,,,,,,,
75,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_075_speed_error_crop.png,,,,,,,,
76,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_076_speed_error_crop.png,,,,,,,,
77,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_077_speed_error_crop.png,,,,,,,,
79,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_079_speed_error_crop.png,,,,,,,,
80,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_080_speed_error_crop.png,,,,,,,,
82,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_082_speed_error_crop.png,,,,,,,,
84,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_084_speed_error_crop.png,,,,,,,,
86,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_086_speed_error_crop.png,,,,,,,,
87,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_087_speed_error_crop.png,,,,,,,,
88,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_088_speed_error_crop.png,,,,,,,,
89,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_089_speed_error_crop.png,,,,,,,,
90,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_090_speed_error_crop.png,,,,,,,,
91,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_091_speed_error_crop.png,,,,,,,,
92,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,panels_crop160/sample_092_speed_error_crop.png,,,,,,,,
98,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_098_speed_error_crop.png,,,,,,,,
102,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_102_speed_error_crop.png,,,,,,,,
104,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_104_speed_error_crop.png,,,,,,,,
111,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_111_speed_error_crop.png,,,,,,,,
117,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_117_speed_error_crop.png,,,,,,,,
131,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_131_speed_error_crop.png,,,,,,,,
132,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_132_speed_error_crop.png,,,,,,,,
134,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_134_speed_error_crop.png,,,,,,,,
135,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_135_speed_error_crop.png,,,,,,,,
137,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_137_speed_error_crop.png,,,,,,,,
139,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_139_speed_error_crop.png,,,,,,,,
140,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;recommended_visual_inspection_unique,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_140_speed_error_crop.png,,,,,,,,
154,gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,panels_crop160/sample_154_speed_error_crop.png,,,,,,,,
37,candidate_structural_hallucination_signature;cnn_consensus_core;mt_primary_controls;phase1_core_contrast,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,panels_crop160/sample_037_speed_error_crop.png,,,,,,,,
39,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;phase1_core_contrast,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_039_speed_error_crop.png,,,,,,,,
29,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;phase1_core_contrast,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,panels_crop160/sample_029_speed_error_crop.png,,,,,,,,
162,cnn_consensus_core;gan_distributional_cases;topology_consensus_cnn,Distributional metrics favor GAN: does GAN preserve multiscale/tail structure better?,CNN,CNN,CNN,CNN,CNN,GAN,GAN,CNN,panels_crop160/sample_162_speed_error_crop.png,,,,,,,,
163,cnn_consensus_core;topology_consensus_cnn,Inspect GT/CNN/GAN structure and error maps.,CNN,CNN,CNN,CNN,CNN,CNN,CNN,CNN,panels_crop160/sample_163_speed_error_crop.png,,,,,,,,
