sample_a,sample_b,mt_a,mt_b,pd_a,pd_b,gan_metric_wins_a,gan_metric_wins_b,overall_majority_a,overall_majority_b,dist_gan_a,dist_gan_b,tail_gan_a,tail_gan_b,note
78,79,CNN,GAN,GAN,GAN,6,6,CNN,CNN,4,4,2,2,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
80,81,GAN,CNN,GAN,GAN,5,4,CNN,CNN,4,4,1,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
81,82,CNN,GAN,GAN,GAN,4,4,CNN,CNN,4,3,0,1,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
82,83,GAN,CNN,GAN,GAN,4,5,CNN,CNN,3,4,1,1,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
86,87,CNN,CNN,GAN,GAN,7,8,CNN,GAN,4,4,3,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
87,88,CNN,CNN,GAN,GAN,8,6,GAN,CNN,4,3,4,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
88,89,CNN,CNN,GAN,GAN,6,8,CNN,GAN,3,4,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
91,92,CNN,GAN,GAN,GAN,11,11,GAN,GAN,5,5,5,5,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
92,93,GAN,CNN,GAN,GAN,11,12,GAN,GAN,5,5,5,6,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
124,125,CNN,CNN,GAN,GAN,8,5,GAN,CNN,3,2,4,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
125,126,CNN,CNN,GAN,GAN,5,8,CNN,GAN,2,2,3,5,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
126,127,CNN,CNN,GAN,GAN,8,6,GAN,CNN,2,2,5,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
153,154,CNN,GAN,GAN,GAN,4,3,CNN,CNN,4,3,0,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
154,155,GAN,CNN,GAN,GAN,3,4,CNN,CNN,3,4,0,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
161,162,CNN,CNN,GAN,CNN,5,8,CNN,GAN,4,3,1,5,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
162,163,CNN,CNN,CNN,CNN,8,7,GAN,CNN,3,3,5,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
